Ngày tin,Sự kiện gốc,Ngày dự báo,Biến động PC,Biến động Pin
2026-01-03,Mỏ đồng Chile,2026-01-17,+6.3%,+4.5%
2026-01-08,Mỏ đồng Chile,2026-01-22,+6.3%,+4.5%
2026-01-10,Mỏ đồng Chile,2026-01-24,+6.3%,+4.5%
2026-01-13,Mỏ đồng Chile,2026-01-27,+6.3%,+4.5%
2026-01-19,Trung Quốc,2026-02-02,+0.0%,+6.0%
2026-01-24,Trung Quốc,2026-02-07,+0.0%,+6.0%
2026-01-25,Mỏ đồng Chile,2026-02-08,+6.3%,+4.5%
2026-02-23,Mỏ đồng Chile,2026-03-09,+6.3%,+4.5%
2026-02-25,Mỏ đồng Chile,2026-03-11,+6.3%,+4.5%
2026-03-04,Mỏ đồng Chile,2026-03-18,+6.3%,+4.5%
2026-03-21,Mỏ đồng Chile,2026-04-04,-6.3%,-4.5%
2026-04-06,Vận tải biển,2026-04-20,+4.0%,+0.0%
